ts_ms,sim.motors.lf.name,sim.motors.lf.target,sim.motors.lf.power,sim.motors.rf.name,sim.motors.rf.target,sim.motors.rf.power,sim.motors.lr.name,sim.motors.lr.target,sim.motors.lr.power,sim.motors.rr.name,sim.motors.rr.target,sim.motors.rr.power,sim.pose.x_in,sim.pose.y_in,sim.pose.heading_deg,sim.manual_mode
1762245084703,,,,,,,,,,,,,0.0,0.0,0.0,
1762245089797,,,,,,,,,,,,,,,,False
1762245094999,,1.0,1.0,,,,,1.0,1.0,,,,21.157931671286377,,-47.605346260394356,
1762245095101,,,,,,,,,,,,,51.011312931285985,,-114.77545409539351,
1762245095204,,,,,,,,,,,,,83.38235561128566,,172.38969987460717,
1762245095304,,,,,,,,,,,,,112.74949911128476,,106.31362699960917,
1762245095408,,0.0,0.0,,,,,0.0,0.0,,,,117.56582860870435,,95.47688563041508,True
1762245099992,,1.0,1.0,,,,,1.0,1.0,,,,137.70458852456844,,50.164675819720934,False
1762245100095,,,,,,,,,,,,,159.39446996456877,,1.3624425797200521,
1762245100198,,,,,,,,,,,,,186.34515528456947,,-59.27659939028144,
1762245100301,,,,,,,,,,,,,215.79285152456885,,-125.53391593028,
1762245100404,,0.0,0.0,,,,,0.0,0.0,,,,218.38071319821813,,-131.35660469599094,True
1762245106009,,0.4,0.4,,-0.4,-0.4,,-0.4,-0.4,,0.4,0.4,,-17.189810953860764,,False
1762245106111,,,,,,,,,,,,,,-40.88521461786057,,
1762245106214,,,,,,,,,,,,,,-64.62546058586041,,
1762245106317,,,,,,,,,,,,,,-91.01634975386105,,
1762245106417,,0.0,0.0,,-0.0,0.0,,0.0,0.0,,0.0,0.0,,-96.00394899673844,,True
1762245110999,,-0.4,-0.4,,0.4,0.4,,-0.4,-0.4,,0.4,0.4,,,-80.33037986256349,False
1762245111100,,,,,,,,,,,,,,,-25.250209474560265,
1762245111200,,,,,,,,,,,,,,,21.430485193439335,
1762245111303,,,,,,,,,,,,,,,70.00079199743992,
1762245111405,,,,,,,,,,,,,,,118.64554312944037,
1762245111506,,,,,,,,,,,,,,,166.72852372944206,
1762245111607,,,,,,,,,,,,,,,-144.41991701855824,
1762245111709,,,,,,,,,,,,,,,-96.86922413855642,
1762245111810,,,,,,,,,,,,,,,-46.81953074255403,
1762245111914,,,,,,,,,,,,,,,-1.8863197785520933,
1762245112013,,,,,,,,,,,,,,,49.36969826544955,
1762245112114,,,,,,,,,,,,,,,103.75734090144918,
1762245112216,,,,,,,,,,,,,,,152.74490700144608,
1762245112317,,,,,,,,,,,,,,,-157.07921060255674,
1762245112418,,,,,,,,,,,,,,,-101.879907142556,
1762245112521,,,,,,,,,,,,,,,-46.482615094556316,
1762245112624,,,,,,,,,,,,,,,8.83514913744266,
1762245112726,,,,,,,,,,,,,,,57.65025288144572,
1762245112829,,,,,,,,,,,,,,,104.93074995744486,
1762245112929,,,,,,,,,,,,,,,154.2318672734448,
1762245113030,,,,,,,,,,,,,,,-152.47394951855537,
1762245113130,,,,,,,,,,,,,,,-98.58529780655432,
1762245113230,,,,,,,,,,,,,,,-44.630066002555196,
1762245113331,,,,,,,,,,,,,,,6.14456868144441,
1762245113431,,,,,,,,,,,,,,,54.76375275744529,
1762245113535,,,,,,,,,,,,,,,102.57985448544528,
1762245113638,,,,,,,,,,,,,,,156.00246366144765,
1762245113742,,,,,,,,,,,,,,,-158.81680899455313,
1762245113846,,,,,,,,,,,,,,,-111.32328803855489,
1762245113948,,,,,,,,,,,,,,,-69.21368512655714,
1762245114050,,,,,,,,,,,,,,,-30.078438034558673,
1762245114151,,,,,,,,,,,,,,,15.425091121443808,
1762245114253,,,,,,,,,,,,,,,66.98704717344384,
1762245114356,,,,,,,,,,,,,,,120.2390727614454,
1762245114457,,,,,,,,,,,,,,,170.3114674334481,
1762245114560,,,,,,,,,,,,,,,-139.5423128385534,
1762245114663,,,,,,,,,,,,,,,-86.99282105855563,
1762245114766,,,,,,,,,,,,,,,-32.98168748255588,
1762245114869,,,,,,,,,,,,,,,19.862886181443255,
1762245114971,,,,,,,,,,,,,,,70.70292526944223,
1762245115071,,,,,,,,,,,,,,,126.09737166144288,
1762245115174,,,,,,,,,,,,,,,-176.89657937855554,
1762245115275,,,,,,,,,,,,,,,-125.24960461055511,
1762245115379,,,,,,,,,,,,,,,-71.6799854025575,
1762245115479,,,,,,,,,,,,,,,-22.57815811055701,
1762245115580,,,,,,,,,,,,,,,33.57496506144367,
1762245115683,,,,,,,,,,,,,,,85.1687997254464,
1762245115785,,,,,,,,,,,,,,,141.4926539054456,
1762245115886,,,,,,,,,,,,,,,-164.331110074554,
1762245115989,,,,,,,,,,,,,,,-110.54497052255516,
1762245116090,,,,,,,,,,,,,,,-53.74134081455919,
1762245116190,,,,,,,,,,,,,,,1.558248133445153,
1762245116292,,,,,,,,,,,,,,,57.84996172944385,
1762245116393,,,,,,,,,,,,,,,110.28920379743946,
1762245116494,,,,,,,,,,,,,,,159.32693856143834,
1762245116596,,,,,,,,,,,,,,,-145.16629691856494,
1762245116698,,,,,,,,,,,,,,,-90.76193847456341,
